NAME20,UZA_type,len_tot_mi,pct
"Boston, MA--NH",Pop: GTE 50k,581.882,0.7463253871946062
"Providence, RI--MA",Pop: GTE 50k,85.515,0.1096820177084853
NonUZA,NonUZA,58.565,0.07511521380182504
"Worcester, MA--CT",Pop: GTE 50k,26.554,0.034057920266152765
"Leominster--Fitchburg, MA",Pop: GTE 50k,22.91,0.029384699314758494
"Ipswich, MA",Pop: LT 50k,4.237,0.005434761714172312
