NAME20,UZA_type,len_tot_mi,pct
"Boston, MA--NH",Pop: GTE 50k,603.364,0.7096822941308333
"Providence, RI--MA",Pop: GTE 50k,94.051,0.11062378221316232
NonUZA,NonUZA,85.804,0.10092292695277588
"Worcester, MA--CT",Pop: GTE 50k,26.554,0.031232675133448438
"Leominster--Fitchburg, MA",Pop: GTE 50k,22.91,0.026947109600590477
"New Bedford, MA",Pop: GTE 50k,13.269,0.015607286182757406
"Ipswich, MA",Pop: LT 50k,4.237,0.004983925786432083
