NAME10,UZA_type,len_tot_mi,pct
"Boston, MA--NH--RI",Census 2010 Urbanized Area,598.869,0.7681138217572292
"Providence, RI--MA",Census 2010 Urbanized Area,72.861,0.09345233207459261
NonUZA,NonUZA,58.011,0.07440527306712633
"Worcester, MA--CT",Census 2010 Urbanized Area,25.85,0.033155024979331205
"Leominster--Fitchburg, MA",Census 2010 Urbanized Area,24.071,0.030873548121720547
